M,type,N1,N2,N3,N4
1,QUAD,479,271,13025,480.0
2,QUAD,125,160,89,1.0
3,QUAD,354,343,19483,353.0
4,QUAD,183,27,19,237.0
5,QUAD,19532,19533,484,108.0
6,TRIA,19108,92,19086,
7,QUAD,57,323,241,275.0
8,QUAD,314,246,262,48.0
9,TRIA,383,106,411,
11,QUAD,10,19545,264,9.0
12,QUAD,269,188,75,270.0
13,QUAD,211,415,5,347.0
14,QUAD,320,485,1017,19637.0
15,TRIA,64,404,423,
16,QUAD,369,24,22,368.0
17,QUAD,332,19805,158,46.0
18,QUAD,371,78,19509,18309.0
19,QUAD,483,366,1023,361.0
20,TRIA,379,13057,19868,
21,QUAD,422,19470,19471,198.0
22,QUAD,67,374,244,19503.0
23,TRIA,296,18306,15861,
24,QUAD,257,87,13023,189.0
25,QUAD,122,16,12,18403.0
26,QUAD,73,986,19687,988.0
27,QUAD,19627,412,330,3894.0
28,QUAD,224,62,42,19542.0
29,QUAD,19540,471,473,145.0
30,QUAD,196,166,267,316.0
31,TRIA,13,18309,19602,
32,TRIA,108,425,19532,
33,TRIA,19495,17050,19498,
34,QUAD,433,485,23,238.0
35,QUAD,98,18900,99,113.0
36,TRIA,12,283,18403,
37,QUAD,253,19533,19803,235.0
38,QUAD,146,139,11,119.0
39,QUAD,198,19471,466,467.0
40,QUAD,19867,15,171,16.0
41,QUAD,232,44,182,396.0
42,QUAD,469,471,19540,19072.0
43,QUAD,367,136,48,262.0
44,QUAD,19139,181,77,133.0
45,QUAD,419,260,215,424.0
46,QUAD,459,19773,260,419.0
47,QUAD,168,218,400,392.0
48,QUAD,19534,272,281,7.0
49,QUAD,19673,445,116,177.0
50,QUAD,138,131,19807,119.0
51,QUAD,15810,88,112,403.0
52,QUAD,348,425,257,97.0
53,QUAD,19803,280,252,235.0
54,QUAD,242,410,170,15.0
55,QUAD,19644,251,56,84.0
56,TRIA,42,236,19542,
57,QUAD,105,287,289,94.0
58,QUAD,414,165,83,307.0
59,QUAD,186,986,73,199.0
60,QUAD,250,186,199,293.0
61,QUAD,17,324,328,202.0
62,QUAD,159,223,91,341.0
63,QUAD,195,18911,98,113.0
64,QUAD,223,201,17,202.0
65,QUAD,327,19787,273,219.0
67,QUAD,208,224,19542,221.0
68,QUAD,274,19498,17050,15884.0
69,QUAD,19531,19502,274,15884.0
70,TRIA,19354,82,110,
71,QUAD,147,430,409,157.0
73,TRIA,438,18410,144,
74,QUAD,227,296,15884,19531.0
75,QUAD,210,19753,348,347.0
77,QUAD,115,409,80,47.0
78,TRIA,51,41,245,
79,QUAD,355,430,18299,15861.0
80,QUAD,147,157,378,384.0
81,QUAD,130,213,128,13061.0
82,TRIA,251,407,225,
83,QUAD,19528,18403,283,19552.0
84,QUAD,19528,19673,177,19115.0
85,QUAD,244,15861,18299,245.0
86,QUAD,441,15861,18306,382.0
87,QUAD,302,19829,109,370.0
88,QUAD,396,19704,28,232.0
89,QUAD,51,245,349,240.0
90,QUAD,475,166,39,43.0
91,QUAD,491,371,255,19549.0
92,QUAD,250,182,461,186.0
94,QUAD,19787,327,351,350.0
95,QUAD,382,18306,460,255.0
97,QUAD,77,103,278,277.0
98,QUAD,225,23,1021,251.0
99,QUAD,99,18862,492,113.0
100,QUAD,90,9,264,19856.0
101,QUAD,134,14,19540,145.0
102,QUAD,444,313,19627,3894.0
103,TRIA,19515,122,19477,
104,QUAD,450,192,236,19700.0
105,QUAD,19540,14,74,19072.0
106,QUAD,292,291,19481,13061.0
108,TRIA,431,136,367,
109,QUAD,19532,22,24,19533.0
110,QUAD,19082,19116,68,70.0
111,QUAD,100,462,1017,126.0
112,QUAD,264,19545,118,265.0
113,QUAD,444,364,1025,313.0
114,QUAD,155,261,49,154.0
115,QUAD,136,431,19082,70.0
116,QUAD,19629,36,3894,19627.0
117,QUAD,19483,343,344,19484.0
118,QUAD,39,166,196,141.0
119,QUAD,335,313,19627,19629.0
120,QUAD,16,122,19515,19867.0
121,QUAD,145,120,183,134.0
122,TRIA,148,372,19519,
123,QUAD,190,350,94,220.0
124,QUAD,19879,19893,106,383.0
125,QUAD,137,376,206,32.0
126,QUAD,10,9,423,404.0
127,QUAD,59,319,112,88.0
128,QUAD,435,33,162,420.0
129,QUAD,19717,182,250,169.0
130,QUAD,86,174,19615,12586.0
131,QUAD,205,226,63,297.0
132,QUAD,324,19793,203,328.0
133,TRIA,270,75,96,
134,QUAD,327,19817,352,351.0
135,QUAD,3,436,293,312.0
136,QUAD,163,238,23,225.0
138,QUAD,31,103,77,181.0
139,QUAD,31,181,100,126.0
140,QUAD,462,100,19137,402.0
141,TRIA,405,101,19352,
142,QUAD,176,279,194,109.0
143,QUAD,450,465,82,19354.0
144,QUAD,1017,462,405,19637.0
145,QUAD,387,427,339,200.0
146,QUAD,208,221,19339,19464.0
147,QUAD,13023,187,191,189.0
148,QUAD,19552,219,273,19815.0
